,CLM_NBR,AUTO_ACCIDENT_DESC,CLAIMANT_STATUS,APPR_DAM_EST_REC_CNT,VEH_COLR_TXT,VEH_DAM_TXT,CLMT_VEH_MDL_NM,CLMT_VEH_YR,VEH_TYPE,VEH_PRIMARY_PT_OF_DAMAGE,AIRBAG_DEPLOYED,VEH_SPEED_AT_IMPACT
6575,5HOPV01,Multi Veh - Unclear Liab,Closed without Payment,0,SILVER,WHOLE FRONT IS GONE,SIENNA LE,2014,Automobile,Complete Front End,More than one,Unknown
6587,BRWE9G0,Multi Veh - Unclear Liab,Closed without Payment,1,Silver,POI- P/S HEADLIGHT/,SOUL,2012,Automobile,Passenger Front Corner,None,21-50 mph
6589,Q398NS7,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"FRONT HOOD, BUMPER,",SENTRA 1.8,2006,Automobile,Complete Front End,None,10-20 mph
6592,OFXXCBR,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI: EXTENSIVE P/S,PRIUS BASE,2008,Automobile,Passenger Center,None,Unknown
6608,K3JJ6O6,Multi Veh - Unclear Liab,Closed without Payment,0,White,BUMPER,ALTIMA BAS,2011,Automobile,Driver Rear Corner,None,21-50 mph
6610,5XOB2NY,Multi Veh - Unclear Liab,Closed without Payment,0,SILVER,BUMPER. HOOD AND GR,ELANTRA,2016,Automobile,Complete Front End,One,21-50 mph
6614,0J3X97A,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,POI/DMG: FRONT BUMP,IMPREZA 2.,2013,Automobile,Complete Front End,One,10-20 mph
6616,R04E8Z1,Multi Veh - Unclear Liab,Closed without Payment,2,GRAY,PRIMARY POINT OF DA,DAKOTA LAR,2005,Automobile,Complete Front End,Unknown,Unknown
6622,S3O3717,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,FRONT END/HEADLIGHT,COROLLA,2016,Automobile,Complete Front End,None,21-50 mph
6625,3JBICJ8,Single Veh,Closed with Payment,1,GREY,REAR PASS SIDE PANE,ACCORD EX,2011,Automobile,Passenger Rear Corner,None,Below 10 mph
6629,79X2E30,Multi Veh - Unclear Liab,Closed with Payment,2,White,UNKNOWN,JUKE S/SV/,2012,Automobile,Passenger Front Corner,None,10-20 mph
6632,9HYGVZH,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"FRONT END DMGD, FRO",SPORTAGE B,2011,Automobile,Complete Front End,One,21-50 mph
6635,RUENZYV,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,POI FRNT/ BUMPER: H,ACCORD,1996,Automobile,Complete Front End,More than one,21-50 mph
6637,9G2ZV9W,Multi Veh - Unclear Liab,Closed with Payment,2,Red,POI FRONT BUMPER SC,TERRAZA CX,2007,Automobile,Complete Front End,None,Below 10 mph
6640,QNIJ1RP,Multi Veh - Unclear Liab,Closed with Payment,2,CHARCOAL,FRONT END DMG,FUSION SE,2016,Automobile,Complete Front End,More than one,Unknown
6643,OZBRTKS,Multi Veh - Unclear Liab,Closed with Payment,3,BLUE,UNK,TUNDRA DOU,2008,Automobile,Complete Front End,None,Unknown
6649,TGKSF72,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,POI: P/S BUMPER AND,SIERRA 150,2001,Automobile,Passenger Front Corner,Unknown,21-50 mph
6651,WG5074R,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,R/E CRUNCHED ALL TH,OPTIMA LX,2013,Automobile,Complete Rear End,None,Parked or Stopped
6663,3COMWDB,Multi Veh - Unclear Liab,Closed with Payment,1,3P1-IMPULSE RE,POI: FRONT BUMPER/G,COROLLA CE,2003,Automobile,Complete Front End,None,Below 10 mph
6675,NU7OO7L,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: P/S DAMAGE. EX,3.2CL TYPE,2003,Automobile,Complete Passenger Side,More than one,Below 10 mph
6677,ILD0FLW,Multi Veh - Unclear Liab,Closed with Payment,3,Black,F/E BUMPER IS DAMAG,TIGUAN 4MO,2016,Automobile,Complete Front End,None,Unknown
6679,LM2864L,Multi Veh - Unclear Liab,Closed with Payment,3,Gray,POI: FR BUMPER DENT,RAV4 LE,2015,Automobile,Complete Front End,None,Unknown
6681,78Y5GEC,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,POI-R P/S PUNCTURE-,FORESTER 2,2005,Automobile,Complete Front End,None,21-50 mph
6687,I9ZPNNA,Multi Veh - Unclear Liab,Closed with Payment,1,GREY,SCRAPED AND DENTED,LACROSSE,2015,Automobile,Complete Front End,Unknown,Unknown
6690,QG4YBUE,Multi Veh - Unclear Liab,Closed with Payment,3,Silver,FRONT END BUMPER AR,RAV4 LIMIT,2008,Automobile,Driver Front Corner,None,10-20 mph
6693,5CXX01D,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,TAILGATE AND BUMPER,CANYON CRE,2007,Automobile,Complete Rear End,None,Parked or Stopped
6694,B8IX8DE,Multi Veh - Unclear Liab,Closed without Payment,1,Blue,FRONT BUMPER SCRATC,LIBERTY LI,2004,Automobile,Complete Front End,None,10-20 mph
6696,ZCPMS4B,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,D/S FRONT,SONATA GLS,2014,Automobile,Driver Front Corner,None,Below 10 mph
6706,3WK5S5D,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"P/S WHOLE SIDE, D/S",CRUZE ECO,2012,Automobile,Complete Passenger Side,More than one,21-50 mph
6708,PPVNOMP,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,POI: D/S FRONT CORN,WRANGLER R,2003,Automobile,Driver Front Corner,None,Unknown
6711,A7VRB7N,Multi Veh - Unclear Liab,Closed without Payment,0,SILVER,DMG EXTENT UNKNOWN,SIENNA XLE,2015,Automobile,Driver Front Corner,Unknown,Unknown
6721,EMX9OZP,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,POI: IV DMG COMPELT,ELANTRA GL,2009,Automobile,Complete Front End,One,21-50 mph
6730,WXV0EIC,Single Veh,Closed with Payment,1,GRAY,UNK EXTENT OF DMG,ESCAPE SE,2013,Automobile,Complete Front End,More than one,Unknown
6740,PYJS7MB,Single Veh,Closed with Payment,1,GRAY,DMG: P/S FRNT CORNE,G6 GT,2009,Automobile,Passenger Front Corner,None,21-50 mph
6742,A61AP6C,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,FR IMPACT EXT UNKWN,TL,2009,Automobile,Complete Front End,One,Unknown
6748,8U0AEOD,Single Veh,Closed with Payment,1,BLACK,P/S FRONT END CRUSH,YUKON XL D,2013,Automobile,Complete Front End,More than one,21-50 mph
6750,RNFLING,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,RGT FRT TIRE BROKEN,PILOT EX,2007,Automobile,Passenger Front Corner,None,21-50 mph
6754,IBBL3CY,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,FRONT BUMPER GRILL,LANCER GTS,2009,Automobile,Complete Front End,More than one,Unknown
6760,MMYTOED,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,DENTS CRACK IN WIND,EXPLORER X,2002,Automobile,Complete Driver Side,None,21-50 mph
6766,AEKTMR0,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,D/S FRONT CORNER AN,OUTBACK 2.,2011,Automobile,Driver Front Corner,One,21-50 mph
6768,D9WIA29,Multi Veh - Unclear Liab,Closed with Payment,3,Red,FRONT,F-150 SUPE,2016,Automobile,Complete Front End,None,21-50 mph
6774,0RMWZW2,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,REAR END BUMPER,SENTRA S,2016,Automobile,Complete Rear End,Unknown,Parked or Stopped
6776,ZP8P6U5,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,REAR END,ILX,2017,Automobile,Complete Rear End,None,Parked or Stopped
6778,Q4H02FK,Multi Veh - Unclear Liab,Closed with Payment,3,White,BUMPER AND LIFT DAM,CX-5 TOURI,2018,Automobile,Complete Rear End,None,Parked or Stopped
6780,C0YZYEP,Multi Veh - Unclear Liab,Closed with Payment,3,WHITE,D/S FENDER AND P/S,WRANGLER U,2017,Automobile,Passenger Front Corner,None,21-50 mph
6782,O42MTUT,Multi Veh - Unclear Liab,Closed without Payment,0,DARK GRAY,"D/S F/E FENDER, BUM",CIVIC,1993,Automobile,Driver Front Corner,One,Unknown
6785,DXVWBSX,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,CMPLT FRNT DMG HOOD,ACCORD LX,2011,Automobile,Complete Front End,Unknown,Unknown
6793,W70F10M,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"FRONT BMP, MOSTLY O",TACOMA ACC,2011,Automobile,Complete Front End,One,21-50 mph
6797,8CNDFHK,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,P/S FRONT CORNER AN,SEDONA EX,2015,Automobile,Passenger Front Corner,None,Unknown
6805,80QC73V,Single Veh,Closed with Payment,5,Blue,SUPP,FORESTER,2013,Automobile,Driver Front Corner,None,Unknown
6808,CM4ALIS,Multi Veh - Unclear Liab,Closed without Payment,0,UNKNOWN,POI: IV TOTALED - U,SIERRA 150,2002,Automobile,Driver Front Corner,Unknown,Unknown
6832,FXK2G5T,Multi Veh - Unclear Liab,Closed with Payment,3,Black,FRONT P/S CORNER DM,SILVERADO,2017,Automobile,Passenger Front Corner,Unknown,Unknown
6841,JMZUBE7,Multi Veh - Unclear Liab,Closed with Payment,2,Blue,RIM BENT AND TIRE B,RAV4 LE,2017,Automobile,Driver Front Corner,None,Unknown
6847,Z3LUTE3,Single Veh,Closed without Payment,2,UNKNOWN,POI UNK,ALTIMA XE/,2000,Automobile,Driver Front Corner,Unknown,Unknown
6855,69ZFQIY,Multi Veh - Unclear Liab,Closed without Payment,2,DARK GREEN,POI:REAR BUMPER DEE,CAMRY LE H,2013,Automobile,Complete Rear End,None,Parked or Stopped
6858,5IPNL9R,Multi Veh - Unclear Liab,Closed with Payment,2,White,POI: HEADLIGHT BROK,ROGUE S/SV,2011,Automobile,Driver Front Corner,None,Below 10 mph
6861,15OEXQF,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,EXTENT UNKNOWN,TOWN & COU,2010,Automobile,Complete Front End,None,21-50 mph
6879,NHCP1U4,Multi Veh - Unclear Liab,Closed with Payment,1,White,POI: FRONT P/S DMGD,COROLLA VE,1999,Automobile,Passenger Front Corner,None,Below 10 mph
6881,2UQTZBZ,Multi Veh - Unclear Liab,Closed with Payment,2,White,POI:  FRONT P/S  HO,MALIBU LS,2012,Automobile,Passenger Front Corner,None,Below 10 mph
6885,NL5CLHO,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,FRONT END DAMAGE,COROLLA L/,2012,Automobile,Complete Front End,One,Unknown
6887,K9RRQIW,Multi Veh - Unclear Liab,Closed without Payment,1,AQUA BLUE,FRT BUMPER - NO DMG,RANGER,1994,Automobile,Complete Front End,None,Below 10 mph
6890,SPFAZLE,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,IV HAS DAMAGE TO TH,ODYSSEY EX,2012,Automobile,Passenger Rear Corner,One,Parked or Stopped
6892,Z5FBFJM,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,COMPLETE REAR END D,MALIBU LT,2011,Automobile,Complete Rear End,None,Unknown
6904,TNFOPNT,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,REAR BUMPER AND MUF,IMPREZA 2.,2014,Automobile,Complete Rear End,None,Below 10 mph
6906,68EJHG8,Multi Veh - Unclear Liab,Closed without Payment,1,TAN,"HOOD, FRONT BUMPER",ACCORD LX,1997,Automobile,Complete Front End,None,Parked or Stopped
6910,VU2FJK4,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI/DMG- FRONT BUMP,PASSPORT L,1995,Automobile,Complete Front End,None,Unknown
6918,7QE1QLD,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,FRONT BUMPER AND HO,OUTLANDER,2012,Automobile,Complete Front End,None,Unknown
6924,YS1UIEQ,Multi Veh - Unclear Liab,Closed with Payment,1,BURGUNDY,P/S RR DOOR DENTED,TUNDRA SR5,2001,Automobile,Driver Center,None,Below 10 mph
6936,RZZJJJA,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: FRONT P/S FEND,MUSTANG,2012,Automobile,Passenger Front Corner,One,Unknown
6939,K97AO4A,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,"HOOD DMG, BUMPER FE",ES 350,2008,Automobile,Complete Front End,None,Below 10 mph
6943,UQ737I1,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,EXTENSIVE,ES 300,1999,Automobile,Complete Rear End,One,Parked or Stopped
6945,7KIS2WU,Multi Veh - Unclear Liab,Closed without Payment,0,BLUE,POI: FRONT BUMPER D,RX-8,2004,Automobile,Complete Front End,Unknown,Unknown
6948,X50NM0T,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,POI: F/E BUMPER GRI,MALIBU LS,2005,Automobile,Complete Front End,More than one,Parked or Stopped
6960,MNYKP4J,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,R/E COMPLETE,AVALON XL/,2006,Automobile,Complete Rear End,None,Parked or Stopped
6970,K7LRDXT,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,POI: D/S FRONT FEND,YARIS BASE,2007,Automobile,Driver Front Corner,None,Below 10 mph
6976,K6XMI8Y,Single Veh,Closed with Payment,1,GOLD,MIDDLE HOOD & FRONT,AVALON XL/,1997,Automobile,Complete Front End,More than one,10-20 mph
6978,ZLGW0PT,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"BUMPER, GRILLE, HOO",CHARGER R/,2017,Automobile,Complete Front End,One,21-50 mph
6990,0NPV05O,Multi Veh - Unclear Liab,Closed without Payment,1,MAROON,POI 2 FOG LIGHTS &,MAXIMA GXE,1996,Automobile,Complete Front End,More than one,10-20 mph
7002,JCZCLO4,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,UNCLEAR OF DMG,ACADIA DEN,2011,Automobile,Complete Front End,More than one,Unknown
7006,1BSWZQ5,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,EXTENT AND DAMAGE U,IS 250,2007,Automobile,Complete Front End,None,Unknown
7010,G512K22,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,"BUMPER, HOOD SMASHE",JOURNEY SX,2016,Automobile,Complete Front End,None,21-50 mph
7014,4VIHEX1,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,DMG TO FRONT D/S BU,ACCORD EX,2016,Automobile,Driver Front Corner,None,Below 10 mph
7018,MO3XE2Q,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,FRT D/S FENDER AND,C300 4MATI,2012,Automobile,Driver Front Corner,None,21-50 mph
7022,5APWY0Q,Single Veh,Closed with Payment,1,SILVER,"ALL OVER, CUT THE R",RAV4 LE,2013,Automobile,All Over,More than one,Unknown
7025,D7VN9TG,Multi Veh - Unclear Liab,Closed without Payment,1,Black,FRONT END SMASHED I,GRAND CHER,1998,Automobile,Complete Front End,More than one,21-50 mph
7035,FD8KI5S,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,COMPLETE FRONT END,CLK350,2009,Automobile,Complete Front End,None,21-50 mph
7037,HR72VMM,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,FRONT P/S BUMPER IS,VUE,2004,Automobile,Passenger Front Corner,None,Below 10 mph
7039,9IRIBYG,Single Veh,Closed with Payment,1,SILVER,POI FRONT END EXT T,VERSA S/VE,2008,Automobile,Complete Front End,One,21-50 mph
7049,H7YLA8A,Multi Veh - Unclear Liab,Closed with Payment,2,PRL WHITE,DMG TO REAR P/S AND,X5 XDRIVE,2017,Automobile,Passenger Rear Corner,None,Unknown
7050,8E80YQH,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI:D/S REAR QUARTE,CRUZE 2LT/,2014,Automobile,Driver Rear Corner,None,21-50 mph
7054,PJAITD2,Multi Veh - Unclear Liab,Closed without Payment,1,BROWN,FRONT END PUSHED IN,RAM PICKUP,2001,Automobile,Complete Front End,None,Unknown
7060,VMU9K3J,Multi Veh - Unclear Liab,Closed with Payment,2,Gray,POI- F/E P/S PANEL,GRAND CHER,2013,Automobile,Passenger Front Corner,None,10-20 mph
7068,GE2F2V8,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"P/S REAR BUMPER, TR",MKS AWD,2012,Automobile,Passenger Rear Corner,None,Below 10 mph
7071,14K05LE,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,HEAVILY DAMAGED.,FOCUS SE,2009,Automobile,Complete Passenger Side,More than one,Unknown
7079,H5DZ6ZE,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,POI- FRONT P/S FEND,PATRIOT SP,2008,Automobile,Passenger Front Corner,More than one,21-50 mph
7083,CE2WBAX,Single Veh,Closed without Payment,1,Blue,POSSIBLE NO DAMAGE,ELANTRA SE,2015,Automobile,Passenger Front Corner,None,10-20 mph
7091,C0OAWN6,Single Veh,Closed without Payment,1,BLACK,POI: D/S FRONT - GO,GRAND AM S,2001,Automobile,Driver Front Corner,None,10-20 mph
7093,EK3LJS7,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,FRONT BUMPER,CRUZE LT/C,2014,Automobile,Complete Front End,None,Unknown
7095,VQLJAW8,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,UNK FRONT END DAMAG,COROLLA BA,2011,Automobile,Complete Front End,More than one,Unknown
7103,AZQ3KVW,Single Veh,Closed without Payment,1,BLACK,P/S FRT BUMPER A CO,IS 350/IS,2014,Automobile,Passenger Front Corner,None,Below 10 mph
7115,LL05E99,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,P/S FRONT BUMPER AN,WRANGLER U,2017,Automobile,Passenger Front Corner,None,Unknown
7119,03696AR,Multi Veh - Unclear Liab,Closed without Payment,1,GOLD,D/S FRONT FENDER UN,ALTIMA BAS,2008,Automobile,Driver Front Corner,None,Unknown
7123,QRGDUE2,Single Veh,Closed with Payment,2,Unknown,PRIMARY POINT OF DA,ESCAPE SEL,2013,Automobile,Complete Front End,More than one,21-50 mph
7125,PJ7D4EL,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,FRONT END DMG DENT,SOUL,2015,Automobile,Complete Front End,More than one,21-50 mph
7129,3R97976,Multi Veh - Unclear Liab,Closed with Payment,2,BROWN,DMG TO WHEEL WELL A,OPTIMA LX/,2009,Automobile,Passenger Front Corner,None,21-50 mph
7131,5XACBH2,Multi Veh - Unclear Liab,Closed without Payment,1,RED,POI: SCRATCH ON BAC,BOXSTER,2000,Automobile,Complete Rear End,None,Parked or Stopped
7139,NR6LWE5,Multi Veh - Unclear Liab,Closed without Payment,1,Beige,LEAKING FLUID WHEEL,EQUINOX LT,2010,Automobile,Driver Front Corner,None,Parked or Stopped
7171,EVUPGQ8,Multi Veh - Unclear Liab,Closed with Payment,2,Maroon,FRNT BUMPER,ESCALADE E,2004,Automobile,No Damage,None,Unknown
7173,API2RG7,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,HOOD PUSHED ON/DENT,VERANO,2015,Automobile,Passenger Front Corner,None,Below 10 mph
7185,LL06QAB,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: FRONT D/S HEAD,ELANTRA GL,2006,Automobile,Driver Front Corner,None,21-50 mph
7193,UNNZ9R8,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI:  IV HAS DAMAGE,MUSTANG,2004,Automobile,Complete Front End,More than one,21-50 mph
7195,MZQ3WEC,Multi Veh - Unclear Liab,Closed with Payment,4,Pearl Whi,POI FRT TO REAR P/S,VOLT PREMI,2012,Automobile,Complete Passenger Side,Unknown,21-50 mph
7204,PAO1VMF,Multi Veh - Unclear Liab,Closed without Payment,1,Gray,WHOLE BACK END DAMG,PILOT EX,2007,Automobile,Complete Rear End,None,Parked or Stopped
7210,BHXJLJ9,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,TRUNK PUSHED IN BUM,CAMRY LE/C,2004,Automobile,Complete Rear End,None,Over 50 mph
7226,UI4DHWM,Multi Veh - Unclear Liab,Closed without Payment,1,NAVY,POI RE BMPR DENTE,328I,2013,Automobile,Complete Rear End,None,Parked or Stopped
7230,8Z9GFQ8,Multi Veh - Unclear Liab,Closed with Payment,2,Black,POI/DMG: R END SMAS,FUSION SE,2012,Automobile,Complete Rear End,None,Over 50 mph
7232,NUP14G8,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,PASSENGER FRT/TIRE/,CIVIC EX,2001,Automobile,Passenger Front Corner,None,Unknown
7234,2840AO1,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,POI:D/S REAR BUMPER,COOPER,2012,Automobile,Complete Driver Side,Unknown,Parked or Stopped
7242,DITTCW8,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,COMPLETE F/E,SONATA SPO,2017,Automobile,Complete Front End,One,21-50 mph
7243,HJRZ16V,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,F/E DMG,ACCORD EX,2007,Automobile,Complete Front End,None,10-20 mph
7246,QF0SUK0,Multi Veh - Unclear Liab,Closed with Payment,1,RED,FRONT END AND LIGHT,CAMRY LE/S,2017,Automobile,Complete Front End,More than one,21-50 mph
7249,R2TOGKK,Multi Veh - Unclear Liab,Closed without Payment,1,Unknown,EXTENT UNK,F-150 SUPE,2010,Automobile,Complete Front End,Unknown,Unknown
7253,I8S2TW7,Multi Veh - Unclear Liab,Closed with Payment,4,GREEN,POI: PS DOORS DENTE,OUTBACK 2.,2007,Automobile,Passenger Center,None,Below 10 mph
7255,MUBFRNU,Single Veh,Closed with Payment,1,SILVER,FRONT BUMPER CENTER,SPORTAGE B,2013,Automobile,Complete Front End,None,Below 10 mph
7259,6PG7QOE,Multi Veh - Unclear Liab,Closed with Payment,1,PearlWhite,POI:PUSHED IN TIRE,RAV4 LIMIT,2009,Automobile,Complete Rear End,None,Parked or Stopped
7262,UH7LGL5,Multi Veh - Unclear Liab,Closed with Payment,3,WHITE,POI- D/S REAR DOOR,328I,2013,Automobile,Driver Rear Corner,Unknown,Unknown
7270,WSH8LE7,Multi Veh - Unclear Liab,Closed with Payment,4,Silver,SUPP BUMPER CHEWED,TL,2008,Automobile,Driver Rear Corner,None,Parked or Stopped
7273,QOXE4KU,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"IV TOWED, UNK FRONT",F-150 SUPE,2005,Automobile,Complete Front End,None,Unknown
7277,9CFSXD4,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,BOTH DOORS DAMAGED,ACCORD EX,2012,Automobile,Driver Center,More than one,Below 10 mph
7283,BHTBAUZ,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: REAR BUMPER TO,SEDONA BAS,2008,Automobile,Complete Rear End,None,Below 10 mph
7291,8SWIYI6,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI F/E HOOD POPPED,S60 T5,2003,Automobile,Complete Front End,None,Below 10 mph
7294,IK4386N,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,FRT PS,SONATA SPO,2015,Automobile,Passenger Front Corner,More than one,21-50 mph
7298,F1EOXRE,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,SCRAPES AND TEAR IN,PRIUS,2012,Automobile,Passenger Front Corner,None,Below 10 mph
7301,J6T2FY9,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,REAR BUMPER SCUFFS,LACROSSE,2014,Automobile,Complete Rear End,None,Parked or Stopped
7305,D8FONJO,Multi Veh - Unclear Liab,Closed with Payment,3,Gray,SUPP,EDGE SEL,2017,Automobile,Complete Front End,None,21-50 mph
7308,CE9AMUV,Multi Veh - Unclear Liab,Closed without Payment,1,White,"FT END IMPACT, DRIV",ENCLAVE CX,2009,Automobile,Complete Front End,None,Unknown
7311,8UI248X,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,PASSENGER SIDE DOOR,RX 350 AWD,2012,Automobile,Passenger Center,More than one,Unknown
7317,J7TQBVK,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,SCRATCH TO MIDDLE F,RIDGELINE,2007,Automobile,No Damage,None,Below 10 mph
7323,PY9ELAU,Multi Veh - Unclear Liab,Closed with Payment,2,Silver,"HOOD, BUMPER",TACOMA REG,2008,Automobile,Complete Front End,None,Below 10 mph
7326,CP1V7DV,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: EXTENSIVE R/E,FRONTIER C,2011,Automobile,Complete Rear End,None,Unknown
7342,PI4QVJ5,Multi Veh - Unclear Liab,Closed with Payment,3,BLUE,FRONT END,COROLLA L/,2014,Automobile,Complete Front End,Unknown,Unknown
7345,SZ4HTFP,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,NEEDS FIELD TOTAL,Q5 QUATTRO,2014,Automobile,Complete Front End,None,10-20 mph
7351,CZJ6KGZ,Multi Veh - Unclear Liab,Closed with Payment,3,Maroon,"FRT P/S FNDR, BMPR",4RUNNER SR,2002,Automobile,Passenger Front Corner,None,21-50 mph
7354,0IZQFB6,Single Veh,Closed without Payment,1,RED,PRIMARY POINT OF DA,SENTRA S/S,2017,Automobile,No Damage,None,Below 10 mph
7369,SZUMBK6,Multi Veh - Unclear Liab,Closed without Payment,1,GOLD,SCRATCHES ON BODY A,SORENTO LX,2016,Automobile,Driver Center,None,Parked or Stopped
7372,LX7NLU2,Multi Veh - Unclear Liab,Closed with Payment,2,White,REAR BUMPER DMG,CIVIC EX,2012,Automobile,Complete Rear End,None,Unknown
7375,ZEI55GD,Single Veh,Closed with Payment,1,TAN,POI: ROOF DENTED.,MAXIMA SE/,2006,Automobile,Roof,More than one,Unknown
7379,6QHA3S0,Multi Veh - Unclear Liab,Closed with Payment,4,SILVER,"DS BOTH DOORS, 1/4",PRIUS,2016,Automobile,Driver Center,None,Unknown
7385,9FJ5WAQ,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"DS FRONT CORNER, DS",GRAND CARA,2017,Automobile,Driver Front Corner,More than one,Below 10 mph
7389,KH4RZ2J,Multi Veh - Unclear Liab,Closed with Payment,3,SILVER,POI: FRONT P/S BUMP,EDGE SEL,2009,Automobile,Passenger Front Corner,None,Unknown
7393,O8O3CWS,Single Veh,Closed with Payment,3,BLUE,"BROKEN TIE ROD, FRO",RAM PICKUP,2008,Automobile,Complete Rear End,None,Unknown
7401,3TT727Z,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,DMG TO FRONT BUMPER,535I,2014,Automobile,Complete Front End,None,Unknown
7405,Y7HJJXQ,Multi Veh - Unclear Liab,Closed without Payment,0,RED,FRONT AND REAR BUMP,MOUNTAINEE,2003,Automobile,Complete Rear End,None,Parked or Stopped
7408,35QDBEJ,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,REAR BUMPER COVER A,GRAND CARA,2006,Automobile,Complete Rear End,None,Parked or Stopped
7453,TKXBFD9,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,POI: D/S BUMPER HOO,AVEO LT,2009,Automobile,Driver Front Corner,None,Below 10 mph
7456,0SMT8HD,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI:REAREXHAUST&BUM,4RUNNER SR,2002,Automobile,Complete Rear End,None,21-50 mph
7466,BT27P7B,Multi Veh - Unclear Liab,Closed with Payment,3,SILVER,NONE,HIGHLANDER,2004,Automobile,Passenger Front Corner,None,Below 10 mph
7472,S7N3Y45,Multi Veh - Unclear Liab,Closed with Payment,3,WHITE,POI: P/S RUNNING BO,RAM 1500,2013,Automobile,Passenger Front Corner,None,Unknown
7477,1R0NYC6,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI REAR TRUNK PUSH,CIVIC HYBR,2003,Automobile,Complete Rear End,None,Unknown
